Model,Train Mean Accuracy,Train Std Accuracy,Val Mean Accuracy,Val Std Accuracy,Gap,Stability Score
SVC,0.6640745742421121,0.010011983584410612,0.3989974333448222,0.010990040108565583,0.26507714089728995,0.2554688227876116
Logistic Regression,0.29528493835907466,0.008016688020092309,0.22240828834146326,0.014345434485020764,0.0728766500176114,0.1716245288476368
Decision Tree,0.9634136984037671,0.00403604155676702,0.44666177980037813,0.025620217030712496,0.516751918603389,0.16266560346797115
KNN,0.4871217596154501,0.013308784067860563,0.2710110423985911,0.03828848860130476,0.21611071721685904,0.1246671951888568
