Model,Train Mean Accuracy,Train Std Accuracy,Val Mean Accuracy,Val Std Accuracy,Gap,Stability Score
Decision Tree,0.992519892788317,0.0015720768915085167,0.6264618110454663,0.02279715250728707,0.3660580817428507,0.42063561766675384
SVC,0.7389725913761427,0.010677859633804099,0.5342707289989812,0.01544219413191012,0.20470186237716148,0.41647760367849035
KNN,0.645275253134933,0.005774167053613251,0.43481419602816745,0.021536968425064952,0.2104610571067655,0.30804669904971976
Logistic Regression,0.4803928828004107,0.008312568747402415,0.36380949562296994,0.015493629431160531,0.11658338717744077,0.29002417260308905
